list_name,familia,name,label
genero,Celastraceae,Anthodon,<span>_Anthodon_</span>
genero,Apiaceae,Anthriscus,<span>_Anthriscus_</span>
genero,Araceae,Anthurium,<span>_Anthurium_</span>
genero,Santalaceae,Antidaphne,<span>_Antidaphne_</span>
genero,Polygonaceae,Antigonon,<span>_Antigonon_</span>
genero,Loganiaceae,Antonia,<span>_Antonia_</span>
genero,Loasaceae,Aosa,<span>_Aosa_</span>
genero,Hydrocharitaceae,Apalanthe,<span>_Apalanthe_</span>
genero,Euphorbiaceae,Aparisthmium,<span>_Aparisthmium_</span>
genero,Malvaceae,Apeiba,<span>_Apeiba_</span>
genero,Acanthaceae,Aphelandra,<span>_Aphelandra_</span>
genero,Podostemaceae,Apinagia,<span>_Apinagia_</span>
genero,Apiaceae,Apium,<span>_Apium_</span>
genero,Poaceae,Apochloa,<span>_Apochloa_</span>
genero,Cucurbitaceae,Apodanthera,<span>_Apodanthera_</span>
genero,Apodanthaceae,Apodanthes,<span>_Apodanthes_</span>
genero,Asteraceae,Apopyros,<span>_Apopyros_</span>
genero,Burmanniaceae,Apteria,<span>_Apteria_</span>
genero,Fabaceae,Apuleia,<span>_Apuleia_</span>
genero,Fabaceae,Arachis,<span>_Arachis_</span>
genero,Araliaceae,Aralia,<span>_Aralia_</span>
genero,Araucariaceae,Araucaria,<span>_Araucaria_</span>
genero,Apocynaceae,Araujia,<span>_Araujia_</span>
genero,Primulaceae,Ardisia,<span>_Ardisia_</span>
genero,Caryophyllaceae,Arenaria,<span>_Arenaria_</span>
genero,Papaveraceae,Argemone,<span>_Argemone_</span>
genero,Convolvulaceae,Argyreia,<span>_Argyreia_</span>
genero,Poaceae,Aristida,<span>_Aristida_</span>
genero,Aristolochiaceae,Aristolochia,<span>_Aristolochia_</span>
genero,Orchidaceae,Arpophyllum,<span>_Arpophyllum_</span>
genero,Cactaceae,Arrojadoa,<span>_Arrojadoa_</span>
genero,Asteraceae,Artemisia,<span>_Artemisia_</span>
genero,Cactaceae,Arthrocereus,<span>_Arthrocereus_</span>
genero,Poaceae,Arthropogon,<span>_Arthropogon_</span>
genero,Moraceae,Artocarpus,<span>_Artocarpus_</span>
genero,Orchidaceae,Arundina,<span>_Arundina_</span>
genero,Poaceae,Arundinella,<span>_Arundinella_</span>
genero,Poaceae,Arundo,<span>_Arundo_</span>
genero,Apocynaceae,Asclepias,<span>_Asclepias_</span>
genero,Polygalaceae,Asemeia,<span>_Asemeia_</span>
genero,Asparagaceae,Asparagus,<span>_Asparagus_</span>
genero,Orchidaceae,Aspasia,<span>_Aspasia_</span>
genero,Malpighiaceae,Aspicarpa,<span>_Aspicarpa_</span>
genero,Orchidaceae,Aspidogyne,<span>_Aspidogyne_</span>
genero,Apocynaceae,Aspidosperma,<span>_Aspidosperma_</span>
genero,Asteraceae,Aspilia,<span>_Aspilia_</span>
genero,Cyclanthaceae,Asplundia,<span>_Asplundia_</span>
genero,Araceae,Asterostigma,<span>_Asterostigma_</span>
genero,Euphorbiaceae,Astraea,<span>_Astraea_</span>
genero,Arecaceae,Astrocaryum,<span>_Astrocaryum_</span>
genero,Phyllanthaceae,Astrocasia,<span>_Astrocasia_</span>
genero,Anacardiaceae,Astronium,<span>_Astronium_</span>
genero,Solanaceae,Athenaea,<span>_Athenaea_</span>
genero,Arecaceae,Attalea,<span>_Attalea_</span>
genero,Rubiaceae,Augusta,<span>_Augusta_</span>
genero,Poaceae,Aulonemia,<span>_Aulonemia_</span>
genero,Asteraceae,Austrobrickellia,<span>_Austrobrickellia_</span>
genero,Asteraceae,Austrocritonia,<span>_Austrocritonia_</span>
genero,Asteraceae,Austroeupatorium,<span>_Austroeupatorium_</span>
genero,Oxalidaceae,Averrhoa,<span>_Averrhoa_</span>
genero,Sapindaceae,Averrhoidium,<span>_Averrhoidium_</span>
genero,Poaceae,Axonopus,<span>_Axonopus_</span>
genero,Asteraceae,Ayapana,<span>_Ayapana_</span>
genero,Asteraceae,Ayapanopsis,<span>_Ayapanopsis_</span>
genero,Malvaceae,Ayenia,<span>_Ayenia_</span>
genero,Salicaceae,Azara,<span>_Azara_</span>
genero,Asteraceae,Baccharis,<span>_Baccharis_</span>
genero,Plantaginaceae,Bacopa,<span>_Bacopa_</span>
genero,Arecaceae,Bactris,<span>_Bactris_</span>
genero,Moraceae,Bagassa,<span>_Bagassa_</span>
genero,Rutaceae,Balfourodendron,<span>_Balfourodendron_</span>
genero,Asteraceae,Baltimora,<span>_Baltimora_</span>
genero,Poaceae,Bambusa,<span>_Bambusa_</span>
genero,Salicaceae,Banara,<span>_Banara_</span>
genero,Malpighiaceae,Banisteriopsis,<span>_Banisteriopsis_</span>
genero,Velloziaceae,Barbacenia,<span>_Barbacenia_</span>
genero,Fabaceae,Barbieria,<span>_Barbieria_</span>
genero,Orchidaceae,Barbosella,<span>_Barbosella_</span>
genero,Apocynaceae,Barjonia,<span>_Barjonia_</span>
genero,Asteraceae,Barnadesia,<span>_Barnadesia_</span>
genero,Malpighiaceae,Barnebya,<span>_Barnebya_</span>
genero,Asteraceae,Barrosoa,<span>_Barrosoa_</span>
genero,Basellaceae,Basella,<span>_Basella_</span>
genero,Plantaginaceae,Basistemon,<span>_Basistemon_</span>
genero,Malvaceae,Bastardia,<span>_Bastardia_</span>
genero,Malvaceae,Bastardiopsis,<span>_Bastardiopsis_</span>
genero,Rubiaceae,Bathysa,<span>_Bathysa_</span>
genero,Fabaceae,Bauhinia,<span>_Bauhinia_</span>
genero,Cyperaceae,Becquerelia,<span>_Becquerelia_</span>
genero,Begoniaceae,Begonia,<span>_Begonia_</span>
genero,Melastomataceae,Behuria,<span>_Behuria_</span>
genero,Lauraceae,Beilschmiedia,<span>_Beilschmiedia_</span>
genero,Asteraceae,Bejaranoa,<span>_Bejaranoa_</span>
genero,Nyctaginaceae,Belemia,<span>_Belemia_</span>
genero,Berberidaceae,Berberis,<span>_Berberis_</span>
genero,Elatinaceae,Bergia,<span>_Bergia_</span>
genero,Euphorbiaceae,Bernardia,<span>_Bernardia_</span>
genero,Connaraceae,Bernardinia,<span>_Bernardinia_</span>
genero,Melastomataceae,Bertolonia,<span>_Bertolonia_</span>
genero,Gesneriaceae,Besleria,<span>_Besleria_</span>
genero,Amaranthaceae,Beta,<span>_Beta_</span>
genero,Euphorbiaceae,Bia,<span>_Bia_</span>
genero,Asteraceae,Bidens,<span>_Bidens_</span>
genero,Orchidaceae,Bifrenaria,<span>_Bifrenaria_</span>
genero,Bignoniaceae,Bignonia,<span>_Bignonia_</span>
genero,Bromeliaceae,Billbergia,<span>_Billbergia_</span>
genero,Fabaceae,Bionia,<span>_Bionia_</span>
genero,Oxalidaceae,Biophytum,<span>_Biophytum_</span>
genero,Bixaceae,Bixa,<span>_Bixa_</span>
genero,Asteraceae,Blainvillea,<span>_Blainvillea_</span>
genero,Fabaceae,Blanchetiodendron,<span>_Blanchetiodendron_</span>
genero,Myrtaceae,Blepharocalyx,<span>_Blepharocalyx_</span>
genero,Apocynaceae,Blepharodon,<span>_Blepharodon_</span>
genero,Orchidaceae,Bletia,<span>_Bletia_</span>
genero,Loasaceae,Blumenbachia,<span>_Blumenbachia_</span>
genero,Annonaceae,Bocagea,<span>_Bocagea_</span>
genero,Urticaceae,Boehmeria,<span>_Boehmeria_</span>
genero,Nyctaginaceae,Boerhavia,<span>_Boerhavia_</span>
genero,Cyperaceae,Bolboschoenus,<span>_Bolboschoenus_</span>
genero,Alstroemeriaceae,Bomarea,<span>_Bomarea_</span>
genero,Malvaceae,Bombax,<span>_Bombax_</span>
genero,Convolvulaceae,Bonamia,<span>_Bonamia_</span>
genero,Calyceraceae,Boopis,<span>_Boopis_</span>
genero,Rubiaceae,Borreria,<span>_Borreria_</span>
genero,Poaceae,Bothriochloa,<span>_Bothriochloa_</span>
genero,Verbenaceae,Bouchea,<span>_Bouchea_</span>
genero,Nyctaginaceae,Bougainvillea,<span>_Bougainvillea_</span>
genero,Fabaceae,Bowdichia,<span>_Bowdichia_</span>
genero,Orchidaceae,Brachionidium,<span>_Brachionidium_</span>
genero,Orchidaceae,Brachystele,<span>_Brachystele_</span>
genero,Rubiaceae,Bradea,<span>_Bradea_</span>
genero,Cactaceae,Brasilicereus,<span>_Brasilicereus_</span>
genero,Euphorbiaceae,Brasiliocroton,<span>_Brasiliocroton_</span>
genero,Cactaceae,Brasiliopuntia,<span>_Brasiliopuntia_</span>
genero,Orchidaceae,Brassavola,<span>_Brassavola_</span>
genero,Brassicaceae,Brassica,<span>_Brassica_</span>
genero,Polygalaceae,Bredemeyera,<span>_Bredemeyera_</span>
genero,Phyllanthaceae,Breynia,<span>_Breynia_</span>
genero,Asteraceae,Brickellia,<span>_Brickellia_</span>
genero,Malvaceae,Briquetia,<span>_Briquetia_</span>
genero,Malvaceae,Briquetiastrum,<span>_Briquetiastrum_</span>
genero,Bromeliaceae,Bromelia,<span>_Bromelia_</span>
genero,Poaceae,Bromus,<span>_Bromus_</span>
genero,Malpighiaceae,Bronwenia,<span>_Bronwenia_</span>
genero,Moraceae,Brosimum,<span>_Brosimum_</span>
genero,Solanaceae,Browallia,<span>_Browallia_</span>
genero,Solanaceae,Brugmansia,<span>_Brugmansia_</span>
genero,Solanaceae,Brunfelsia,<span>_Brunfelsia_</span>
genero,Combretaceae,Buchenavia,<span>_Buchenavia_</span>
genero,Orobanchaceae,Buchnera,<span>_Buchnera_</span>
genero,Scrophulariaceae,Buddleja,<span>_Buddleja_</span>
genero,Orchidaceae,Bulbophyllum,<span>_Bulbophyllum_</span>
genero,Cyperaceae,Bulbostylis,<span>_Bulbostylis_</span>
genero,Malpighiaceae,Bunchosia,<span>_Bunchosia_</span>
genero,Burmanniaceae,Burmannia,<span>_Burmannia_</span>
genero,Arecaceae,Butia,<span>_Butia_</span>
genero,Malpighiaceae,Byrsonima,<span>_Byrsonima_</span>
genero,Malvaceae,Byttneria,<span>_Byttneria_</span>
genero,Polygalaceae,Caamembeca,<span>_Caamembeca_</span>
genero,Cabombaceae,Cabomba,<span>_Cabomba_</span>
genero,Meliaceae,Cabralea,<span>_Cabralea_</span>
genero,Fabaceae,Caesalpinia,<span>_Caesalpinia_</span>
genero,Fabaceae,Cajanus,<span>_Cajanus_</span>
genero,Araceae,Caladium,<span>_Caladium_</span>
genero,Calceolariaceae,Calceolaria,<span>_Calceolaria_</span>
genero,Asteraceae,Calea,<span>_Calea_</span>
genero,Solanaceae,Calibrachoa,<span>_Calibrachoa_</span>
genero,Malpighiaceae,Callaeum,<span>_Callaeum_</span>
genero,Fabaceae,Calliandra,<span>_Calliandra_</span>
genero,Malvaceae,Callianthe,<span>_Callianthe_</span>
genero,Bignoniaceae,Callichlamys,<span>_Callichlamys_</span>
genero,Commelinaceae,Callisia,<span>_Callisia_</span>
genero,Vochysiaceae,Callisthene,<span>_Callisthene_</span>
genero,Gentianaceae,Calolisianthus,<span>_Calolisianthus_</span>
genero,Calophyllaceae,Calophyllum,<span>_Calophyllum_</span>
genero,Fabaceae,Calopogonium,<span>_Calopogonium_</span>
genero,Apocynaceae,Calotropis,<span>_Calotropis_</span>
genero,Convolvulaceae,Calycobolus,<span>_Calycobolus_</span>
genero,Myrtaceae,Calycolpus,<span>_Calycolpus_</span>
genero,Iridaceae,Calydorea,<span>_Calydorea_</span>
genero,Asteraceae,Calyptocarpus,<span>_Calyptocarpus_</span>
genero,Myrtaceae,Calyptranthes,<span>_Calyptranthes_</span>
genero,Cyperaceae,Calyptrocarya,<span>_Calyptrocarya_</span>
genero,Malpighiaceae,Camarea,<span>_Camarea_</span>
genero,Melastomataceae,Cambessedesia,<span>_Cambessedesia_</span>
genero,Theaceae,Camellia,<span>_Camellia_</span>
genero,Convolvulaceae,Camonea,<span>_Camonea_</span>
genero,Myrtaceae,Campomanesia,<span>_Campomanesia_</span>
genero,Asteraceae,Campovassouria,<span>_Campovassouria_</span>
genero,Fabaceae,Camptosema,<span>_Camptosema_</span>
genero,Asteraceae,Campuloclinium,<span>_Campuloclinium_</span>
genero,Orchidaceae,Campylocentrum,<span>_Campylocentrum_</span>
genero,Poaceae,Canastra,<span>_Canastra_</span>
genero,Fabaceae,Canavalia,<span>_Canavalia_</span>
genero,Bromeliaceae,Canistrum,<span>_Canistrum_</span>
genero,Cannaceae,Canna,<span>_Canna_</span>
genero,Lamiaceae,Cantinoa,<span>_Cantinoa_</span>
genero,Orchidaceae,Capanemia,<span>_Capanemia_</span>
genero,Euphorbiaceae,Caperonia,<span>_Caperonia_</span>
genero,Capparaceae,Capparidastrum,<span>_Capparidastrum_</span>
genero,Myoporaceae,Capraria,<span>_Capraria_</span>
genero,Brassicaceae,Capsella,<span>_Capsella_</span>
genero,Solanaceae,Capsicum,<span>_Capsicum_</span>
genero,Rubiaceae,Carapichea,<span>_Carapichea_</span>
genero,Brassicaceae,Cardamine,<span>_Cardamine_</span>
genero,Annonaceae,Cardiopetalum,<span>_Cardiopetalum_</span>
genero,Sapindaceae,Cardiospermum,<span>_Cardiospermum_</span>
genero,Asteraceae,Carduus,<span>_Carduus_</span>
genero,Cyperaceae,Carex,<span>_Carex_</span>
genero,Caricaceae,Carica,<span>_Carica_</span>
genero,Lecythidaceae,Cariniana,<span>_Cariniana_</span>
genero,Malpighiaceae,Carolus,<span>_Carolus_</span>
genero,Achariaceae,Carpotroche,<span>_Carpotroche_</span>
genero,Asteraceae,Carthamus,<span>_Carthamus_</span>
genero,Caryocaraceae,Caryocar,<span>_Caryocar_</span>
genero,Salicaceae,Casearia,<span>_Casearia_</span>
genero,Verbenaceae,Casselia,<span>_Casselia_</span>
genero,Fabaceae,Cassia,<span>_Cassia_</span>
genero,Lauraceae,Cassytha,<span>_Cassytha_</span>
genero,Podostemaceae,Castelnavia,<span>_Castelnavia_</span>
genero,Orobanchaceae,Castilleja,<span>_Castilleja_</span>
genero,Orchidaceae,Catasetum,<span>_Catasetum_</span>
genero,Apocynaceae,Catharanthus,<span>_Catharanthus_</span>
genero,Orchidaceae,Cattleya,<span>_Cattleya_</span>
genero,Malvaceae,Cavanillesia,<span>_Cavanillesia_</span>
genero,Cucurbitaceae,Cayaponia,<span>_Cayaponia_</span>
