"Specie","Author1","Author2"
"Dimorphandra macrostachya","Benth.",NA
"Dimorphandra mollis","Benth.",NA
"Dimorphandra pennigera","Tul.",NA
"Dimorphandra pullei","Amshoff",NA
"Dimorphandra vernicosa","Spreng. ex Benth.",NA
"Dioclea apurensis","Kunth",NA
"Dioclea fimbriata","Huber",NA
"Dioclea macrantha","Huber",NA
"Dioclea megacarpa","Rolfe",NA
"Dioclea reflexa","Hook.f.",NA
"Dioclea scabra","(Rich.) R.H.Maxwell",NA
"Dioclea violacea","Mart. ex Benth.",NA
"Dioclea virgata var. crenata","(Rich.) Amshoff","R.H.Maxwell"
"Dioclea virgata var. virgata","(Rich.) Amshoff",NA
"Dioclea wilsonii","Standl.",NA
"Diplotropis brasiliensis","(Tul.) Benth.",NA
"Diplotropis martiusii","Benth.",NA
"Diplotropis purpurea var. leptophylla","(Rich.) Amshoff","(Kleinh.) Yakovlev"
"Diplotropis rodriguesii","H.C.Lima",NA
"Diplotropis triloba","Gleason",NA
"Dipteryx lacunifera","Ducke",NA
"Dipteryx magnifica","(Ducke) Ducke",NA
"Dipteryx micrantha","Harms",NA
"Dipteryx polyphylla","Huber",NA
"Dipteryx punctata","(S.F. Blake) Amshoff",NA
"Dipteryx rosea","Spruce ex Benth.",NA
"Diptychandra",NA,NA
"Diptychandra aurantiaca","Tul.",NA
"Dolichos",NA,NA
"Dussia discolor","(Benth.) Amshoff",NA
"Elizabetha coccinea","R.H.Schomb. ex Benth.",NA
"Elizabetha coccinea var. coccinea","R.H.Schomb. ex Benth.",NA
"Elizabetha coccinea var. oxyphylla","R.H.Schomb. ex Benth.","(Harms) R.S.Cowan"
"Elizabetha duckei","Huber",NA
"Elizabetha macrostachya","Benth.",NA
"Elizabetha princeps","R.H.Schomb. ex Benth.",NA
"Entada polystachya var. simplicata","(L.) DC.","Barneby"
"Enterolobium contortisiliquum","(Vell.) Morong",NA
"Enterolobium cyclocarpum","(Jacq.) Griseb.",NA
"Enterolobium gummiferum","(Mart.) J.F.Macbr.",NA
"Enterolobium timbouva","Mart.",NA
"Eperua bijuga","Mart. ex Benth.",NA
"Eperua falcata","Aubl.",NA
"Eperua grandiflora","(Aubl.) Benth.",NA
"Eperua jenmanii","Oliv.",NA
"Eperua leucantha","Benth.",NA
"Eperua praesagata","R.S.Cowan",NA
"Eperua rubiginosa","Miq.",NA
"Eperua rubiginosa var. rubiginosa","Miq.",NA
"Eperua schomburgkiana","Benth.",NA
"Eriosema violaceum","(Aubl.) G.Don",NA
"Etaballia",NA,NA
"Etaballia dubia","(Kunth) Rudd",NA
"Fissicalyx",NA,NA
"Fissicalyx fendleri","Benth.",NA
"Heterostemon ellipticus","Mart. ex Benth.",NA
"Heterostemon impar","Spruce ex Benth.",NA
"Heterostemon mimosoides","Desf.",NA
"Heterostemon mimosoides var. complanatus","Desf.","R.S.Cowan"
"Heterostemon mimosoides var. mimosoides","Desf.",NA
"Hydrochorea gonggrijpii","(Kleinhoonte) Barneby & J.W.Grimes",NA
"Hydrochorea marginata","(Benth.) Barneby & J.W.Grimes",NA
"Hydrochorea marginata var. marginata","(Benth.) Barneby & J.W.Grimes",NA
"Hydrochorea marginata var. panurensis","(Benth.) Barneby & J.W.Grimes","(Benth.) Barneby & J.W.Grimes"
"Hymenaea aurea","Y.T.Lee & Langenh.",NA
"Hymenaea maranhensis","Lee & Lang.",NA
"Hymenaea martiana","Hayne",NA
"Hymenaea stigonocarpa","Mart. ex Hayne",NA
"Hymenolobium flavum","Kleinhoonte",NA
"Hymenolobium pulcherrimum","Ducke",NA
"Indigofera hirsuta","L.",NA
"Indigofera lespedezioides","Kunth",NA
"Indigofera microcarpa","Desv.",NA
"Indigofera pascuorum","Benth.",NA
"Inga acicularis","T.D.Penn.",NA
"Inga acrocephala","Steud.",NA
"Inga acuminata","Benth.",NA
"Inga alata","Benoist",NA
"Inga brevipes","Benth.",NA
"Inga caudata","Killip",NA
"Inga disticha","Benth.",NA
"Inga exilis","T.D.Penn.",NA
"Inga flagelliformis","(Vell.) Mart.",NA
"Inga graciliflora","Benth.",NA
"Inga lentiscifolia","Benth.",NA
"Inga leptocarpa","T.D.Penn.",NA
"Inga lomatophylla","(Benth.) Pittier",NA
"Inga longiflora","Spruce ex Benth.",NA
"Inga melinonis","Sagot",NA
"Inga microcalyx","Spruce ex Benth.",NA
"Inga multinervis","T.D.Penn.",NA
"Inga obtusata","Spruce ex Benth.",NA
"Inga peduncularis","Benth.",NA
"Inga pezizifera","Benth.",NA
"Inga pilosula","(Rich.) J.F.Macbr.",NA
"Inga plumifera","Spruce ex Benth.",NA
"Inga poeppigiana","Benth.",NA
"Inga rhynchocalyx","Sandwith",NA
"Inga salicifoliola","T.D.Penn.",NA
"Inga sessilis","(Vell.) Mart.",NA
"Inga stenopoda","Pittier",NA
"Inga striolata","T.D.Penn.",NA
"Inga suberosa","T.D.Penn.",NA
"Inga ulei","Harms",NA
"Inga velutina","Willd.",NA
"Inga venusta","Standl.",NA
"Inga virgultosa","(Vahl) Desv.",NA
"Leptolobium",NA,NA
"Leptolobium elegans","Vogel",NA
"Lonchocarpus hedyosmus","Miq.",NA
"Luetzelburgia amazonica","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",NA
"Machaerium amazonense","Hoehne",NA
"Machaerium aristulatum","(Spruce ex Benth.) Ducke",NA
"Machaerium costulatum","Rudd",NA
"Machaerium duckeanum","Hoehne",NA
"Machaerium ferox","(Mart. ex Benth.) Ducke",NA
"Machaerium floribundum","Benth.",NA
"Machaerium froesii","Rudd",NA
"Machaerium inundatum","(Mart. ex Benth.) Ducke",NA
"Machaerium isadelphum","(E.Mey.) Amshoff",NA
"Machaerium leiophyllum var. crista-castrense","(DC.) Benth.","(Mart. ex Benth.) Rudd"
"Machaerium leiophyllum var. latifolium","(DC.) Benth.","(Benth.) Rudd"
"Machaerium lunatum","(L.f.) Ducke",NA
"Machaerium macrophyllum","Benth.",NA
"Machaerium macrophyllum var. brevialatum","Benth.","Rudd"
"Machaerium microphyllum","(E.Mey.) Standl.",NA
"Machaerium piresii","Rudd",NA
"Machaerium punctatum","(Poir.) Pers.",NA
"Machaerium sericiflorum","Vogel",NA
"Machaerium uncinatum","(Vell.) Benth.",NA
"Macrolobium acaciifolium","(Benth.) Benth.",NA
"Macrolobium angustifolium","(Benth.) R.S.Cowan",NA
"Macrolobium campestre var. arboreum","Huber","R.S.Cowan"
"Macrolobium campestre var. arirambense","Huber","R.S.Cowan"
"Macrolobium campestre var. campestre","Huber",NA
"Macrolobium campestre var. longibracteatum","Huber","R.S.Cowan"
"Macrolobium campestre var. medium","Huber","R.S.Cowan"
"Macrolobium canaliculatum","Spruce ex Benth.",NA
"Macrolobium conjunctum","R.S.Cowan",NA
"Macrolobium cowanii","Barneby",NA
"Macrolobium discolor","Benth.",NA
"Macrolobium discolor var. caudiculatum","Benth.","(Ducke) R.S.Cowan"
"Macrolobium duckeanum","R.S.Cowan",NA
"Macrolobium flexuosum","Spruce ex Benth.",NA
"Macrolobium froesii","R.S.Cowan",NA
"Macrolobium gracile var. confertum","Spruce ex Benth.","(Gleason) R.S.Cowan"
"Macrolobium gracile var. debile","Spruce ex Benth.","(Ducke) R.S.Cowan"
"Macrolobium huberianum","Ducke",NA
"Macrolobium huberianum var. huberianum","Ducke",NA
"Macrolobium limbatum var. limbatum","Spruce ex Benth.",NA
"Macrolobium limbatum var. mucronatum","Spruce ex Benth.","(R.S.Cowan) R.S.Cowan"
"Macrolobium limbatum var. propinquum","Spruce ex Benth.","R.S.Cowan"
"Macrolobium montanum var. montanum","Ducke",NA
"Macrolobium multijugum","(DC.) Benth.",NA
"Macrolobium multijugum var. multijugum","(DC.) Benth.",NA
"Macrolobium multijugum var. sinuatum","(DC.) Benth.","R.S.Cowan"
"Macrolobium parvifolium","(Huber) R.S.Cowan",NA
"Macrolobium pendulum","Willd. ex Vogel",NA
"Macrolobium prancei","R.S.Cowan",NA
"Macrolobium punctatum","Spruce ex Benth.",NA
"Macrolobium rigidum","R.S.Cowan",NA
"Macrolobium rubrum","R.S.Cowan",NA
"Macrolobium suaveolens var. petiolatum","Benth.","R.S.Cowan"
"Macrolobium suaveolens var. rondonianum","Benth.","(Hoehne) R.S.Cowan"
"Macrolobium suaveolens var. suaveolens","Benth.",NA
"Macrolobium suaveolens var. uaupesense","Benth.","R.S.Cowan"
"Macrosamanea amplissima","(Ducke) Barneby & J.W.Grimes",NA
"Macrosamanea discolor","(Willd.) Britton & Killip",NA
"Macrosamanea discolor var. discolor","(Willd.) Britton & Killip",NA
"Macrosamanea duckei","(Huber) Barneby & J.W.Grimes",NA
"Macrosamanea froesii","Barneby & J.W.Grimes",NA
"Macrosamanea macrocalyx","(Ducke) Barneby & J.W.Grimes",NA
"Macrosamanea prancei","(Barneby) Barneby & J.W.Grimes",NA
"Macrosamanea pubiramea var. lindsaeifolia","(Steud.) Barneby & J.W.Grimes","(Spruce ex Benth.) Barneby & J.W.Grimes"
"Macrosamanea pubiramea var. pubiramea","(Steud.) Barneby & J.W.Grimes",NA
"Macrosamanea simabifolia","(Benth.) Pittier",NA
"Macrosamanea spruceana","(Benth.) Killip ex Record",NA
"Martiodendron elatum var. elatum","(Ducke) Gleason",NA
"Martiodendron elatum var. occidentale","(Ducke) Gleason","(Ducke) R.C.Koeppen"
"Martiodendron excelsum","(Benth.) Gleason",NA
"Martiodendron parviflorum","(Amshoff) R.C.Koeppen",NA
"Mimosa acutistipula","(Mart.) Benth.",NA
"Mimosa annularis","Spruce ex Benth.",NA
"Mimosa annularis var. odora","Spruce ex Benth.","Barneby"
"Mimosa casta","L.",NA
"Mimosa debilis","Humb. & Bonpl. ex Willd.",NA
"Mimosa debilis var. debilis","Humb. & Bonpl. ex Willd.",NA
"Mimosa densa","Benth.",NA
"Mimosa diplotricha","C.Wright ex Sauvalle",NA
"Mimosa dormiens","Humb. & Bonpl. ex Willd.",NA
"Mimosa exalbescens","Barneby",NA
"Mimosa filipes","Mart.",NA
"Mimosa guilandinae var. duckei","(DC.) Barneby","(Huber) Barneby"
"Mimosa guilandinae var. extensissima","(DC.) Barneby","(Ducke) Barneby"
"Mimosa guilandinae var. guilandinae","(DC.) Barneby",NA
"Mimosa guilandinae var. spruceana","(DC.) Barneby","(Benth.) Barneby"
"Mimosa insidiosa","Benth.",NA
"Mimosa invisa","Mart. ex Colla",NA
"Mimosa invisa var. invisa","Mart. ex Colla",NA
"Mimosa invisa var. spiciflora","Mart. ex Colla","(H.Karst.) Barneby"
"Mimosa macropogon","Barneby",NA
"Mimosa microcephala","Humb. & Bonpl. ex Willd.",NA
"Mimosa myriadenia","(Benth.) Benth.",NA
"Mimosa myriadenia var. egena","(Benth.) Benth.","J.F.Macbr."
"Mimosa myriadenia var. myriadenia","(Benth.) Benth.",NA
"Mimosa myriadenia var. punctulata","(Benth.) Benth.","(Benth.) Barneby"
"Mimosa neptunioides","Harms ex Kuntze",NA
"Mimosa orthocarpa","Spruce ex Benth.",NA
"Mimosa paludosa","Benth.",NA
"Mimosa paraibana","Barneby",NA
"Mimosa piptoptera","Barneby",NA
"Mimosa piresii","Barneby",NA
"Mimosa polycarpa","Kunth",NA
"Mimosa polydactyla","Humb. & Bonpl. ex Willd.",NA
"Mimosa pudica","L.",NA
"Mimosa pudica var. tetrandra","L.","(Humb. & Bonpl. ex Willd.) DC."
"Mimosa pudica var. unijuga","L.","(Walp. & Duchass.) Griseb."
"Mimosa pusilliceps","Barneby",NA
"Mimosa rufescens var. amnis-nigri","Benth.","Barneby"
"Mimosa schomburgkii","Benth.",NA
"Mimosa schrankioides","Benth.",NA
"Mimosa schrankioides var. sagotiana","Benth.","(Benth.) Barneby"
"Mimosa schrankioides var. schrankioides","Benth.",NA
"Mimosa sensitiva","L.",NA
"Mimosa sensitiva var. sensitiva","L.",NA
"Mimosa skinneri","Benth.",NA
"Mimosa skinneri var. carajarum","Benth.","Barneby"
"Mimosa skinneri var. desmodioides","Benth.","(Benth.) Barneby"
"Mimosa somnians","Humb. & Bonpl. ex Willd.",NA
"Mimosa somnians var. somnians","Humb. & Bonpl. ex Willd.",NA
"Mimosa somnians var. viscida","Humb. & Bonpl. ex Willd.","(Willd.) Barneby"
"Mimosa supravisa","Barneby",NA
"Mimosa ursina","Mart.",NA
"Mimosa verrucosa","Benth.",NA
"Mimosa xanthocentra var. mansii","Mart.","(Mart.) Barneby"
"Monopteryx inpae","W.A.Rodrigues",NA
"Monopteryx uaucu","Spruce ex Benth.",NA
"Mora",NA,NA
"Mora paraensis","(Ducke) Ducke",NA
"Mucuna pruriens","(L.) DC.",NA
"Mucuna urens","(L.) Medik.",NA
"Muellera",NA,NA
"Myrocarpus fastigiatus","Allemão",NA
"Myrocarpus frondosus","Allemão",NA
"Neptunia",NA,NA
"Neptunia oleracea","Lour.",NA
"Neptunia plena","(L.) Benth.",NA
"Newtonia",NA,NA
"Ormosia coarctata","Jacq.",NA
"Ormosia coccinea var. coccinea","Jacks.",NA
"Ormosia coccinea var. subsimplex","Jacks.","(Spruce ex Benth.) Rudd"
"Ormosia discolor","Spruce ex Benth.",NA
"Ormosia flava","(Ducke) Rudd",NA
"Ormosia grossa","Rudd",NA
"Ormosia lignivalvis","Rudd",NA
"Ormosia macrocalyx","Ducke",NA
"Ormosia macrophylla","Benth.",NA
"Ormosia nobilis var. nobilis","Tul.",NA
"Ormosia nobilis var. santaremnensis","Tul.","(Ducke) Rudd"
"Ormosia solimoesensis","Rudd",NA
"Ormosia steyermarkii","Rudd",NA
"Pachyrhizus",NA,NA
"Pachyrhizus erosus","(L.) Urb.",NA
"Pachyrhizus tuberosus","(Lam.) Spreng.",NA
"Paloue",NA,NA
"Paloue brasiliensis","Ducke",NA
"Paloue guianensis","Aubl.",NA
"Paloue induta","Sandwith",NA
"Paloue riparia","Pulle",NA
"Paloveopsis",NA,NA
"Paloveopsis emarginata","R.S.Cowan",NA
"Panurea",NA,NA
"Panurea longifolia","Spruce ex Benth.",NA
"Paramachaerium",NA,NA
"Paramachaerium ormosioides","(Ducke) Ducke",NA
"Paramachaerium schomburgkii","(Benth.) Ducke",NA
"Parkia cachimboensis","H.C.Hopkins",NA
"Parkia discolor","Spruce ex Benth.",NA
"Parkia lutea","H.C.Hopkins",NA
"Parkia platycephala","Benth.",NA
"Parkia ulei","(Harms) Kuhlm.",NA
"Parkia ulei var. surinamensis","(Harms) Kuhlm.","Kleinhoonte"
"Parkia ulei var. ulei","(Harms) Kuhlm.",NA
"Parkia velutina","Benoist",NA
"Parkinsonia",NA,NA
"Parkinsonia aculeata","L.",NA
"Peltogyne campestris var. campestris","Huber ex Ducke",NA
"Peltogyne confertiflora","(Mart. ex Hayne) Benth.",NA
"Peltogyne densiflora","Spruce ex Benth.",NA
"Peltogyne floribunda","(Kunth) Pittier",NA
"Peltogyne heterophylla","M.F.Silva",NA
"Peltogyne subsessilis","W.A.Rodrigues",NA
"Peltogyne venosa","(Vahl) Benth.",NA
"Peltophorum",NA,NA
"Peltophorum dubium","(Spreng.) Taub.",NA
"Pentaclethra",NA,NA
"Pentaclethra macroloba","(Willd.) Kuntze",NA
"Piptadenia anolidurus","Barneby",NA
"Piptadenia paniculata","Benth.",NA
"Piptadenia pteroclada","Benth.",NA
"Piptadenia stipulacea","(Benth.) Ducke",NA
"Piptadenia uaupensis","Spruce ex Benth.",NA
"Pithecellobium diversifolium","Benth.",NA
"Pithecellobium dulce","(Roxb.) Benth.",NA
"Plathymenia",NA,NA
"Plathymenia reticulata","Benth.",NA
"Platymiscium filipes","Benth.",NA
"Platymiscium trinitatis var. duckei","Benth.","(Huber) Klitg."
"Pseudopiptadenia leptostachya","(Benth.) Rauschert",NA
"Pseudosamanea",NA,NA
"Psophocarpus",NA,NA
"Psophocarpus tetragonolobus","(L.) DC.",NA
"Pueraria",NA,NA
"Pueraria phaseoloides","(Roxb.) Benth.",NA
"Rhynchosia minima","(L.) DC.",NA
"Rhynchosia reticulata","(Sw.) DC.",NA
"Rhynchosia reticulata var. reticulata","(Sw.) DC.",NA
"Rhynchosia schomburgkii","Benth.",NA
"Robinia",NA,NA
"Samanea inopinata","(Harms) Barneby & J.W.Grimes",NA
"Senna alata","(L.) Roxb.",NA
"Senna bacillaris","(L.f.) H.S.Irwin & Barneby",NA
"Senna bacillaris var. benthamiana","(L.f.) H.S.Irwin & Barneby","(J.F.Macbr.) H.S.Irwin & Barneby"
"Senna cana var. cana","(Nees & Mart.) H.S.Irwin & Barneby",NA
"Senna chrysocarpa","(Desv.) H.S.Irwin & Barneby",NA
"Senna cornigera","H.S.Irwin & Barneby",NA
"Senna gardneri","(Benth.) H.S.Irwin & Barneby",NA
"Senna georgica","H.S.Irwin & Barneby",NA
"Senna kuhlmannii","Hoehne",NA
"Senna lechriosperma","H.S.Irwin & Barneby",NA
"Senna oblongifolia","(Vogel) H.S.Irwin & Barneby",NA
"Senna pendula var. glabrata","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","(Vogel) H.S.Irwin & Barneby"
"Senna pendula var. indistincta","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","H.S.Irwin & Barneby"
"Senna pendula var. tenuifolia","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","(Benth.) H.S.Irwin & Barneby"
"Senna pilifera","(Vogel) H.S.Irwin & Barneby",NA
"Senna pilifera var. subglabra","(Vogel) H.S.Irwin & Barneby","(S.Moore) H.S.Irwin & Barneby"
"Senna quinquangulata var. quinquangulata","(Rich.) H.S.Irwin & Barneby",NA
"Senna rugosa","(G.Don) H.S.Irwin & Barneby",NA
"Senna siamea","(Lam.) H.S.Irwin & Barneby",NA
"Senna spinescens","(Hoffmanns.ex Vogel) H.S.Irwin & Barneby",NA
"Senna spinescens var. spinescens","(Hoffmanns.ex Vogel) H.S.Irwin & Barneby",NA
"Senna undulata","(Benth.) H.S.Irwin & Barneby",NA
"Senna velutina","(Vogel) H.S.Irwin & Barneby",NA
"Sesbania exasperata","Kunth",NA
"Sesbania sesban","(L.) Merr.",NA
"Soemmeringia",NA,NA
"Soemmeringia semperflorens","Mart.",NA
"Stryphnodendron coriaceum","Benth.",NA
"Stryphnodendron foreroi","E.M.O.Martins",NA
"Stryphnodendron occhionianum","E.M.O.Martins",NA
"Stryphnodendron paniculatum","Poepp.& Endl.",NA
"Stryphnodendron polyphyllum","Mart.",NA
"Stryphnodendron polystachyum","(Miq.) Kleinh.",NA
"Stryphnodendron racemiferum","(Ducke) W.A.Rodrigues",NA
"Stryphnodendron rotundifolium","Mart.",NA
"Stylosanthes hispida","Rich.",NA
"Swartzia acuminata","Willd.ex Vogel",NA
"Swartzia alato-sericea","Barneby",NA
"Swartzia amazonica","S.Moore",NA
"Swartzia amazonica var. cinerea","S.Moore","(Ducke) R.S.Cowan"
"Swartzia aptera","DC.",NA
"Swartzia argentea","Spruce ex Benth.",NA
"Swartzia cardiosperma","Spruce ex Benth.",NA
"Swartzia conferta var. conferta","Spruce ex Benth.",NA
"Swartzia conferta var. vaupesiana","Spruce ex Benth.","R.S.Cowan"
"Swartzia corrugata","Benth.",NA
"Swartzia dipetala","Willd. ex Vogel",NA
"Swartzia fraterna","R.S.Cowan",NA
"Swartzia grandifolia","Bong. ex Benth.",NA
"Swartzia ingifolia","Ducke",NA
"Swartzia krukovii","R.S.Cowan",NA
"Swartzia laurifolia","Benth.",NA
"Swartzia lucida","R.S.Cowan",NA
"Swartzia macrocarpa","Spruce ex Benth.",NA
"Swartzia martii","Eichler ex Benth.",NA
"Swartzia oblanceolata","Sandwith",NA
"Swartzia obscura","Huber",NA
"Swartzia oedipus","Barneby",NA
"Swartzia panacoco","(Aubl.) R.S.Cowan",NA
"Swartzia panacoco var. cardonae","(Aubl.) R.S.Cowan","(Cowan) Cowan"
"Swartzia panacoco var. polyanthera","(Aubl.) R.S.Cowan","(Steud.) R.S.Cowan"
"Swartzia pernitida","R.S.Cowan",NA
"Swartzia picta","Benth.",NA
"Swartzia polyphylla","DC.",NA
"Swartzia racemosa","Benth.",NA
"Swartzia racemosa var. racemosa","Benth.",NA
"Swartzia schomburgkii","Benth.",NA
"Swartzia schomburgkii var. guaynensis","Benth.","R.S.Cowan"
"Swartzia schomburgkii var. rigida","Benth.","R.S.Cowan"
"Swartzia schomburgkii var. schomburgkii","Benth.",NA
"Swartzia tomentifera","(Ducke) Ducke",NA
"Swartzia ulei","Harms",NA
"Swartzia velutina","Spruce ex Benth.",NA
"Tachigali alba","Ducke",NA
"Tachigali argyrophylla","Ducke",NA
"Tachigali cavipes","(Spruce ex Benth.) J.F.Macbr.",NA
"Tachigali eriopetala","(Ducke) L.G.Silva & H.C.Lima",NA
"Tachigali grandistipulata","Harms",NA
"Tachigali guianensis","(Benth.) Zarucchi & Herend.",NA
"Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA
"Tachigali longiflora","Ducke",NA
"Tachigali macrostachya","Huber",NA
"Tachigali plumbea","Ducke",NA
"Tachigali venusta","Dwyer",NA
"Taralea cordata var. cordata","Ducke",NA
"Taralea crassifolia","(Benth.) Ducke",NA
"Taralea nudipes","(Tul.) Ducke",NA
"Tephrosia candida","DC.",NA
"Tephrosia cinerea","(L.) Pers.",NA
"Tephrosia domingensis","(Willd.) Pers.",NA
"Tephrosia nitens","Benth.",NA
"Tephrosia purpurea","(L.) Pers.",NA
"Teramnus",NA,NA
"Teramnus volubilis","Sw.",NA
"Trischidium",NA,NA
"Trischidium alternum","(Benth.) H.E.Ireland",NA
"Trischidium racemulosum","(Huber) H.E.Ireland",NA
"Uleanthus",NA,NA
"Uleanthus erythrinoides","Harms",NA
"Vatairea erythrocarpa","(Ducke) Ducke",NA
"Vatairea guianensis","Aubl.",NA
"Vatairea sericea","(Ducke) Ducke",NA
"Vigna lasiocarpa","(Mart.ex Benth.) Verdc.",NA
"Vigna longifolia","(Benth.) Verdc.",NA
"Vigna luteola","(Jacq.) Benth.",NA
"Vigna unguiculata","(L.) Walp.",NA
"Vigna vexillata","(L.) Rich.",NA
"Vouacapoua",NA,NA
"Vouacapoua americana","Aubl.",NA
"Vouacapoua pallidior","Ducke",NA
"Zollernia kanukuensis","R.S.Cowan",NA
"Zornia latifolia var. latifolia","Sm.",NA
"Zornia leptophylla","(Benth.) Pittier",NA
"Zygia ampla","(Spruce ex Benth.) Pittier",NA
"Zygia basijuga","(Ducke) Barneby & J.W.Grimes",NA
"Zygia claviflora","(Benth.) Barneby & J.W.Grimes",NA
"Zygia inundata","(Ducke) H.C.Lima ex Barneby & Grimes",NA
"Zygia latifolia var. lasiopus","(L.) Fawc. & Rendle","(Benth.) Barneby & J.W.Grimes"
"Zygia morongii","Barneby & J.W.Grimes",NA
"Zygia racemosa","(Ducke) Barneby & J.W.Grimes",NA
"Zygia selloi","(Benth.) L.Rico",NA
"Zygia transamazonica","Barneby & J.W.Grimes",NA
"Zygia trunciflora","(Ducke) L.Rico",NA
"Zygia unifoliolata","(Benth.) Pittier",NA
"Bauhinia affinis","Vogel",NA
"Bauhinia albicans","Vogel",NA
"Bauhinia fusconervis","(Bong.) Steud.",NA
"Bauhinia ovata","(Bong.) Vogel",NA
"Bauhinia uruguayensis","Benth.",NA
"Cassia leptophylla","Vogel",NA
"Chamaecrista amphibola","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista atroglandulosa","(Taub. ex Harms) H.S.Irwin & Barneby",NA
"Chamaecrista vestita","(Vogel) H.S.Irwin & Barneby",NA
"Gleditsia",NA,NA
"Gleditsia amorphoides","(Griseb.) Taub.",NA
"Guilandina",NA,NA
"Guilandina bonduc","L.",NA
"Martiodendron mediterraneum","(Mart. ex Benth.) R.C.Koeppen",NA
"Moldenhawera luschnathiana","Yakovlev",NA
"Moldenhawera polysperma","(Vell.) Stellfeld",NA
"Pomaria",NA,NA
"Pomaria pilosa","(Vogel) B.B.Simpson & G.P.Lewis",NA
"Pomaria rubicunda","(Vogel) B.B.Simpson & G.P.Lewis",NA
"Pomaria stipularis","(Vogel) B.B.Simpson & G.P.Lewis",NA
"Senna araucarietorum","H.S.Irwin & Barneby",NA
"Senna corymbosa","(Lam.) H.S.Irwin & Barneby",NA
"Senna itatiaiae","H.S.Irwin & Barneby",NA
"Senna spinigera","(Rizzini) H.S.Irwin & Barneby",NA
"Senna tenuifolia","(Vogel) H.S.Irwin & Barneby",NA
"Senna tropica","(Vell.) H.S.Irwin & Barneby",NA
"Tachigali beaurepairei","(Harms) L.G.Silva & H.C.Lima",NA
"Tachigali densiflora","(Benth.) L.G.Silva & H.C.Lima",NA
"Tachigali denudata","(Vogel) Oliveira-Filho",NA
"Tachigali duckei","(Dwyer) Oliveira-Filho",NA
"Tachigali friburgensis","(Harms) L.G.Silva & H.C.Lima",NA
"Tachigali paratyensis","(Vell.) H.C.Lima",NA
"Tachigali pilgeriana","(Harms) Oliveira-Filho",NA
"Tachigali rugosa","(Mart. ex Benth.) Zarucchi & Pipoly",NA
"Tachigali urbaniana","(Harms) L.G.Silva & H.C.Lima",NA
"Tachigali vulgaris","L.G.Silva & H.C.Lima",NA
"Abarema barnebyana","Iganci & M.P.Morim",NA
"Abarema limae","Iganci & M.P.Morim",NA
"Abarema villosa","Iganci & M.P.Morim",NA
"Albizia burkartiana","Barneby & J.W.Grimes",NA
"Albizia edwallii","(Hoehne) Barneby & J.W.Grimes",NA
"Calliandra tweedii","Benth.",NA
"Desmanthus paspalaceus","(Lindm.) Burkart",NA
"Enterolobium glaziovii","(Benth.) Mesquita",NA
"Enterolobium monjollo","(Vell.) Mart.",NA
"Inga arenicola","T.D.Penn.",NA
"Inga bullata","Benth.",NA
"Inga cabelo","T.D.Penn.",NA
"Inga conchifolia","L.P.Queiroz",NA
"Inga cordistipula","Mart.",NA
"Inga edwallii","(Harms) T.D.Penn.",NA
"Inga enterolobioides","T.D.Penn.",NA
"Inga globularis","T.D.Penn.",NA
"Inga lanceifolia","Benth.",NA
"Inga lenticellata","Benth.",NA
"Inga maritima","Benth.",NA
"Inga mendoncaei","Harms",NA
"Inga platyptera","Benth.",NA
"Inga praegnans","T.D.Penn.",NA
"Inga schinifolia","Benth.",NA
"Inga sellowiana","Benth.",NA
"Mimosa axillaris","Benth.",NA
"Mimosa balduinii","Burkart",NA
"Mimosa bocainae","Barneby",NA
"Mimosa callidryas","Barneby",NA
"Mimosa catharinensis","Burkart",NA
"Mimosa chaetosphaera","Barneby",NA
"Mimosa coniflora","Burkart",NA
"Mimosa deceptrix","Barneby",NA
"Mimosa dryandroides","Taub.",NA
"Mimosa dutrae","Malme",NA
"Mimosa eriocarpa","Benth.",NA
"Mimosa ernestii","Harms",NA
"Mimosa fachinalensis","Burkart",NA
"Mimosa filipetiola","Burkart",NA
"Mimosa flagellaris","Benth.",NA
"Mimosa glabra","Benth.",NA
"Mimosa glazioui","Benth.",NA
"Mimosa incana","Benth.",NA
"Mimosa involucrata","Benth.",NA
"Mimosa iperoensis","Hoehne",NA
"Mimosa itatiaiensis","Dusén",NA
"Mimosa lepidorepens","Burkart",NA
"Mimosa lundiana","Benth.",NA
"Mimosa murex","Barneby",NA
"Mimosa myuros","Barneby",NA
"Mimosa oblonga","Benth.",NA
"Mimosa paraguariae","Micheli",NA
"Mimosa pedersenii","Barneby",NA
"Mimosa per-dusenii","Burkart",NA
"Mimosa pseudocallosa","Burkart",NA
"Mimosa pseudolepidota","(Burkart) Barneby",NA
"Mimosa psittacina","Barneby",NA
"Mimosa ramentacea","Burkart",NA
"Mimosa ramosissima","Benth.",NA
"Mimosa ramulosa","Benth.",NA
"Mimosa rupestris","Benth.",NA
"Mimosa sanguinolenta","Barneby",NA
"Mimosa scabrella","Benth.",NA
"Mimosa schleidenii","Herter",NA
